experiment,period,season,plant,jawe,rble,rvbu,rwbu,frugivore
1,control,breeding,native,0,0,0,0,0
1,treatment,breeding,native,0,0,0,0,0
2,control,breeding,native,0,0,0,0,0
2,treatment,breeding,native,0,1,0,0,1
3,control,breeding,native,0,0,0,0,0
3,treatment,breeding,native,0,0,0,0,0
4,control,breeding,native,0,0,0,0,0
4,treatment,breeding,native,0,0,0,0,0
5,control,breeding,native,0,0,0,0,0
5,treatment,breeding,native,0,0,0,0,0
6,control,breeding,native,0,0,0,0,0
6,treatment,breeding,native,0,0,0,0,0
7,control,breeding,native,0,0,0,0,0
7,treatment,breeding,native,3,0,0,0,3
8,control,breeding,native,0,0,0,0,0
8,treatment,breeding,native,0,0,0,0,0
9,control,non,native,0,0,0,0,0
9,treatment,non,native,0,0,0,0,0
10,control,non,exotic,6,0,0,0,6
10,treatment,non,exotic,7,0,0,0,7
11,control,non,native,0,0,0,0,0
11,treatment,non,native,0,0,0,1,1
12,control,non,exotic,0,0,0,0,0
12,treatment,non,exotic,0,0,0,0,0
13,control,non,exotic,0,0,0,0,0
13,treatment,non,exotic,0,0,0,0,0
14,control,non,native,0,0,0,0,0
14,treatment,non,native,0,0,0,0,0
15,control,non,native,0,0,0,0,0
15,treatment,non,native,0,0,0,0,0
16,control,non,native,0,0,0,0,0
16,treatment,non,native,0,0,0,0,0
17,control,non,native,0,0,0,0,0
17,treatment,non,native,1,0,0,0,1
18,control,non,native,0,0,0,0,0
18,treatment,non,native,0,0,0,0,0
19,control,non,exotic,0,0,0,0,0
19,treatment,non,exotic,4,0,0,0,4
20,control,non,native,0,0,0,0,0
20,treatment,non,native,0,0,0,0,0
21,control,non,native,0,0,0,0,0
21,treatment,non,native,0,0,0,0,0
22,control,non,native,0,0,0,0,0
22,treatment,non,native,0,0,0,0,0
23,control,non,native,0,0,0,0,0
23,treatment,non,native,0,0,0,0,0
24,control,non,exotic,0,0,0,0,0
24,treatment,non,exotic,0,0,0,0,0
25,control,non,native,0,0,0,0,0
25,treatment,non,native,30,0,0,0,30
26,control,non,native,0,0,0,0,0
