experiment,track.order,track.spp,track.type,track.length,breeding.season,native.plant,jawe,rble,rvbu,rwbu
13,1,control,con,15,0,0,0,0,0,0
13,2,control,con,15,0,0,0,0,0,0
13,3,control,con,15,0,0,0,0,0,0
13,4,control,con,15,0,0,0,0,0,0
13,5,rvbu,treat,15,0,0,0,0,0,0
13,6,jawe.rble,treat,15,0,0,1,0,0,0
13,7,rwbu,treat,15,0,0,0,0,0,0
13,8,rble,treat,15,0,0,0,0,0,0
15,1,control,con,15,0,1,1,1,0,0
15,2,control,con,15,0,1,1,0,0,0
15,3,control,con,15,0,1,0,0,0,0
15,4,control,con,15,0,1,0,0,0,0
15,5,jawe.rble,treat,15,0,1,1,0,1,0
15,6,rvbu,treat,15,0,1,0,1,0,0
15,7,rwbu,treat,15,0,1,0,0,0,0
15,8,rble,treat,15,0,1,1,0,0,0
16,1,control,con,15,0,1,0,0,0,0
16,2,control,con,15,0,1,1,0,0,1
16,3,control,con,15,0,1,0,0,0,0
16,4,control,con,15,0,1,0,0,0,0
16,5,jawe.rble,treat,15,0,1,1,1,0,0
16,6,rvbu,treat,15,0,1,1,0,0,0
16,7,jawe,treat,15,0,1,1,0,0,0
16,8,rwbu,treat,15,0,1,0,0,0,1
18,1,control,con,15,0,1,0,0,0,0
18,2,control,con,15,0,1,0,0,0,0
18,3,control,con,15,0,1,0,0,0,0
18,4,control,con,15,0,1,0,1,0,0
18,5,rble,treat,15,0,1,1,1,0,0
18,6,jawe,treat,15,0,1,0,0,0,0
18,7,rvbu,treat,15,0,1,1,0,0,0
18,8,rwbu,treat,15,0,1,0,0,0,0
20,1,control,con,15,0,1,0,0,0,0
20,2,control,con,15,0,1,0,0,0,0
20,3,control,con,15,0,1,0,0,0,0
20,4,control,con,15,0,1,0,0,0,0
20,5,rvbu,treat,15,0,1,0,0,0,0
20,6,jawe,treat,15,0,1,1,0,0,0
20,7,rble,treat,15,0,1,0,1,0,0
20,8,jawe.rble,treat,15,0,1,0,0,0,0
28,1,control,con,15,0,0,0,0,0,0
28,2,control,con,15,0,0,0,0,0,1
28,3,control,con,15,0,0,0,0,0,0
28,4,control,con,15,0,0,0,1,0,1
28,5,rvbu,treat,15,0,0,0,0,0,0
28,6,jawe,treat,15,0,0,0,0,0,0
28,7,rble,treat,15,0,0,0,0,0,0
28,8,rwbu,treat,15,0,0,0,0,0,0
29,1,control,con,15,0,1,0,1,0,0
29,2,control,con,15,0,1,0,0,0,0
29,3,control,con,15,0,1,0,0,0,0
29,4,control,con,15,0,1,0,0,0,0
29,5,jawe,treat,15,0,1,1,1,0,0
29,6,rvbu,treat,15,0,1,0,0,1,0
29,7,rble,treat,15,0,1,1,1,0,0
29,8,rwbu,treat,15,0,1,0,0,0,1
30,1,control,con,15,0,1,1,0,0,0
30,2,control,con,15,0,1,0,0,0,0
30,3,control,con,15,0,1,0,0,0,0
30,4,control,con,15,0,1,1,0,0,0
30,5,rvbu,treat,15,0,1,1,1,1,0
30,6,jawe,treat,15,0,1,1,0,0,0
30,7,rble,treat,15,0,1,0,0,0,0
30,8,rwbu,treat,15,0,1,1,0,0,1
31,1,control,con,15,0,0,1,0,0,0
31,2,control,con,15,0,0,0,0,0,1
31,3,control,con,15,0,0,0,1,0,1
31,4,control,con,15,0,0,0,1,0,0
31,5,rvbu,treat,15,0,0,1,0,1,0
31,6,jawe.rble,treat,15,0,0,1,1,0,0
31,7,rwbu,treat,15,0,0,1,1,0,1
31,8,jawe,treat,15,0,0,1,0,0,0
32,1,control,con,15,0,1,0,0,0,0
